Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Remo Freuler,MF,Switzerland,30,1992,3.6,8,5,3,5,0,4,6,66.7,2,3,0,3,3,11,3,1
Keysher Fuller,"DF,MF",Costa Rica,27,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0
Niclas Füllkrug,FW,Germany,29,1993,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rogelio Funes Mori,FW,Mexico,31,1991,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Cody Gakpo,"FW,MF",Netherlands,23,1999,5.0,8,2,3,2,3,3,4,75.0,1,10,1,9,3,11,6,0
Hernán Galíndez,GK,Ecuador,35,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jesús Gallardo,DF,Mexico,27,1994,3.0,9,5,5,4,0,3,8,37.5,5,5,1,4,1,10,10,0
Idrissa Gana Gueye,MF,Senegal,32,1989,3.0,2,1,1,1,0,0,1,0.0,1,3,0,3,5,7,3,0
Gavi,MF,Spain,17,2004,3.2,8,4,1,7,0,2,5,40.0,3,3,0,3,1,9,2,0
Sultan Al-Ghanam,"DF,MF",Saudi Arabia,28,1994,1.4,0,0,0,0,0,0,1,0.0,1,3,1,2,2,2,3,0
Nader Ghandri,DF,Tunisia,27,1995,1.0,2,2,2,0,0,1,1,100.0,0,4,4,0,1,3,4,0
Saman Ghoddos,MF,IR Iran,28,1993,0.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
