Player,Nation,Pos,Squad,Born,Seasons
Ben Davies,WAL,DF,Tottenham,1993,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League', 'Europa League'], 'WC 2022': ['WC 2022']}"
Ben Davies,ENG,DF,Rangers,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League']}"
Steven Davis,NIR,MF,Rangers,1985,{'2022-2023': ['Champions League']}
Kevin De Bruyne,BEL,MF,Manchester City,1991,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Charles De Ketelaere,BEL,"MF,FW",Milan,2001,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Rodrigo De Paul,ARG,MF,Atlético Madrid,1994,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Mattia De Sciglio,ITA,DF,Juventus,1992,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Serie A']}"
Amar Dedić,BIH,DF,RB Salzburg,2002,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Thomas Delaney,DEN,MF,Sevilla,1991,"{'2022-2023': ['Bundesliga', 'La Liga', 'Champions League'], '2023-2024': ['Belgian Pro League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Ousmane Dembélé,FRA,FW,Barcelona,1997,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['Ligue 1', 'Champions League'], '2024-2025': ['Ligue 1', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Kerem Demirbay,GER,MF,Leverkusen,1993,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Europa League']}"
Sergiño Dest,USA,DF,Milan,2000,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League'], 'WC 2022': ['WC 2022']}"
Giovanni Di Lorenzo,ITA,DF,Napoli,1993,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Serie A'], 'EURO 2024': ['EURO 2024']}"
Ángel Di María,ARG,FW,Juventus,1988,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Moussa Diaby,FRA,"FW,MF",Leverkusen,1999,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Premier League']}"
Abdou Diallo,SEN,"DF,MF",RB Leipzig,1996,"{'2022-2023': ['Bundesliga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Rúben Dias,POR,DF,Manchester City,1997,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Brahim Díaz,MAR,"MF,FW",Milan,1999,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League']}"
Luis Díaz,COL,FW,Liverpool,1997,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Eric Dier,ENG,DF,Tottenham,1994,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Kevin Diks,NED,DF,FC Copenhagen,1996,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Federico Dimarco,ITA,DF,Inter,1997,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,2000,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Europa League', 'Bundesliga']}"
Marko Dmitrović,SRB,GK,Sevilla,1992,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga']}"
Matt Doherty,IRL,DF,Tottenham,1992,"{'2022-2023': ['Premier League', 'La Liga', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Kasper Dolberg,DEN,FW,Sevilla,1997,"{'2022-2023': ['Bundesliga', 'La Liga', 'Champions League'], '2023-2024': ['Belgian Pro League'], '2024-2025': ['Europa League', 'Belgian Pro League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Gianluigi Donnarumma,ITA,GK,Paris S-G,1999,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Ligue 1', 'Champions League'], '2024-2025': ['Ligue 1', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Julian Draxler,GER,MF,Benfica,1993,{'2022-2023': ['Champions League']}
Josip Drmić,SUI,FW,Dinamo Zagreb,1992,{'2022-2023': ['Champions League']}
Denzel Dumfries,NED,DF,Inter,1996,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Edin Džeko,BIH,FW,Inter,1986,"{'2022-2023': ['Champions League', 'Serie A'], '2024-2025': ['Europa League']}"
Ederson,BRA,GK,Manchester City,1993,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'WC 2022': ['WC 2022']}"
Jorge Eduardo Sánchez,MEX,DF,Ajax,1997,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Marcus Edwards,ENG,"FW,MF",Sporting CP,1998,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga']}"
Hugo Ekitike,FRA,"MF,FW",Paris S-G,2002,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Bundesliga', 'Ligue 1'], '2024-2025': ['Europa League', 'Bundesliga']}"
Harvey Elliott,ENG,MF,Liverpool,2003,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League']}"
Elif Elmas,MKD,"FW,MF",Napoli,1999,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Bundesliga', 'Champions League', 'Serie A'], '2024-2025': ['Bundesliga', 'Champions League']}"
Emerson,BRA,"DF,MF",Tottenham,1999,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Champions League', 'Serie A']}"
Youssef En-Nesyri,MAR,FW,Sevilla,1997,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League'], 'WC 2022': ['WC 2022']}"
Ricardo Esgaio,POR,"DF,MF",Sporting CP,1993,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
Dario Essugo,POR,MF,Sporting CP,2005,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'La Liga']}"
Stephen Eustáquio,CAN,MF,Porto,1996,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Evanilson,BRA,FW,Porto,1999,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Premier League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Fabinho,BRA,MF,Liverpool,1993,"{'2022-2023': ['Premier League', 'Champions League'], 'WC 2022': ['WC 2022']}"
Nicolò Fagioli,ITA,MF,Juventus,2001,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Rasmus Falk,DEN,MF,FC Copenhagen,1992,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Abdul Fatawu Issahaku,GHA,"MF,DF",Sporting CP,2004,"{'2022-2023': ['Europa League', 'Champions League'], '2024-2025': ['Premier League'], 'WC 2022': ['WC 2022']}"
Ansu Fati,ESP,FW,Barcelona,2002,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['Premier League', 'Europa League', 'La Liga'], '2024-2025': ['La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Felipe,BRA,DF,Atlético Madrid,1989,"{'2022-2023': ['Premier League', 'La Liga', 'Champions League'], '2023-2024': ['Premier League']}"
João Félix,POR,"FW,MF",Chelsea,1999,"{'2022-2023': ['Premier League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Premier League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Mateus Fernandes,POR,MF,Sporting CP,2004,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga', 'Premier League']}"
Enzo Fernández,ARG,MF,Benfica,2001,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Fernando,BRA,FW,RB Salzburg,1999,"{'2022-2023': ['Europa League', 'Champions League'], '2023': ['Brasil2023SerieA'], '2023-2024': ['Champions League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fernando,BRA,MF,Sevilla,1987,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Roberto Firmino,BRA,"FW,MF",Liverpool,1991,"{'2022-2023': ['Premier League', 'Champions League']}"
Phil Foden,ENG,"MF,FW",Manchester City,2000,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Wesley Fofana,FRA,DF,Chelsea,2000,"{'2022-2023': ['Premier League', 'Champions League'], '2024-2025': ['Premier League']}"
Bernardo Folha,POR,MF,Porto,2002,{'2022-2023': ['Champions League']}
James Forrest,SCO,FW,Celtic,1991,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Emil Forsberg,SWE,"MF,FW",RB Leipzig,1991,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League']}"
Fraser Forster,ENG,GK,Tottenham,1988,"{'2022-2023': ['Premier League', 'Champions League'], '2024-2025': ['Europa League']}"
Timothy Fosu-Mensah,NED,"MF,DF",Leverkusen,1998,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League']}"
Lassina Franck Traoré,BFA,FW,Shakhtar,2001,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
André Franco,POR,MF,Porto,1998,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Jeremie Frimpong,NED,"MF,FW",Leverkusen,2000,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Kyogo Furuhashi,JPN,FW,Celtic,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Matteo Gabbia,ITA,DF,Milan,1999,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Europa League', 'La Liga', 'Serie A'], '2024-2025': ['Champions League', 'Serie A']}"
Gianluca Gaetano,ITA,MF,Napoli,2000,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Serie A']}"
Roberto Gagliardini,ITA,MF,Inter,1994,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Serie A']}"
Cody Gakpo,NED,"FW,MF",Liverpool,1999,"{'2022-2023': ['Premier League', 'Europa League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Galeno,BRA,"FW,MF",Porto,1997,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Conor Gallagher,ENG,MF,Chelsea,2000,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Eric García,ESP,DF,Barcelona,2001,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga', 'Champions League']}"
Federico Gatti,ITA,DF,Juventus,1998,"{'2022-2023': ['Europa League', 'Champions League', 'Serie A'], '2023-2024': ['Serie A'], '2024-2025': ['Champions League', 'Serie A']}"
Gavi,ESP,MF,Barcelona,2004,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Gerson,BRA,MF,Marseille,1997,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Giorgos Giakoumakis,GRE,FW,Celtic,1994,{'2022-2023': ['Champions League']}
Samuel Gigot,FRA,DF,Marseille,1993,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Europa League', 'Serie A']}"
Bryan Gil,ESP,MF,Tottenham,2001,"{'2022-2023': ['Premier League', 'Europa League', 'La Liga', 'Champions League'], '2023-2024': ['Premier League'], '2024-2025': ['La Liga', 'Champions League']}"
Gilberto,BRA,DF,Benfica,1993,"{'2022-2023': ['Champions League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Olivier Giroud,FRA,FW,Milan,1986,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Europa League', 'Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Jamie Gittens,ENG,MF,Dortmund,2004,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League']}"
Serge Gnabry,GER,"FW,MF",Bayern Munich,1995,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Sean Goldberg,ISR,DF,Maccabi Haifa,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League']}"
Connor Goldson,ENG,DF,Rangers,1992,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League']}"
Joe Gomez,ENG,DF,Liverpool,1997,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League']}"
Papu Gómez,ARG,"FW,MF",Sevilla,1988,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['Serie A'], 'WC 2022': ['WC 2022']}"
Sergio Gómez,ESP,"DF,MF",Manchester City,2000,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Europa League', 'La Liga']}"
Diogo Gonçalves,POR,"FW,MF",Benfica,1997,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Pedro Gonçalves,POR,"MF,FW",Sporting CP,1998,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
Leon Goretzka,GER,MF,Bayern Munich,1995,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Robin Gosens,GER,DF,Inter,1994,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Serie A']}"
Mario Götze,GER,"MF,FW",Eint Frankfurt,1992,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Europa League', 'Bundesliga'], 'WC 2022': ['WC 2022']}"
Lucas Gourna-Douath,FRA,MF,RB Salzburg,2003,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Kamil Grabara,POL,GK,FC Copenhagen,1999,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League'], '2024-2025': ['Bundesliga']}"
Ryan Gravenberch,NED,MF,Bayern Munich,2002,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Premier League', 'Europa League', 'Bundesliga'], '2024-2025': ['Premier League', 'Champions League']}"
Ivo Grbić,CRO,GK,Atlético Madrid,1996,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['Premier League']}"
Jack Grealish,ENG,FW,Manchester City,1995,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'WC 2022': ['WC 2022']}"
Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,1991,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Florian Grillitsch,AUT,MF,Ajax,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Europa League', 'Bundesliga'], 'EURO 2024': ['EURO 2024']}"
Álex Grimaldo,ESP,DF,Benfica,1995,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Marko Grujić,SRB,MF,Porto,1996,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League'], 'WC 2022': ['WC 2022']}"
Nemanja Gudelj,SRB,"DF,MF",Sevilla,1991,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Gonçalo Guedes,POR,"FW,MF",Benfica,1996,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League', 'La Liga', 'Champions League'], '2024-2025': ['Premier League']}"
Mattéo Guendouzi,FRA,MF,Marseille,1999,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Ligue 1', 'Champions League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A'], 'WC 2022': ['WC 2022']}"
Raphaël Guerreiro,POR,DF,Dortmund,1993,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Pape Gueye,SEN,MF,Marseille,1999,"{'2022-2023': ['Ligue 1', 'La Liga', 'Champions League'], '2023-2024': ['Ligue 1'], '2024-2025': ['La Liga'], 'WC 2022': ['WC 2022']}"
Péter Gulácsi,HUN,GK,RB Leipzig,1990,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
İlkay Gündoğan,GER,MF,Manchester City,1990,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Joško Gvardiol,CRO,DF,RB Leipzig,2002,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Erling Haaland,NOR,FW,Manchester City,2000,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League']}"
Amadou Haidara,MLI,MF,RB Leipzig,1998,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League']}"
Achraf Hakimi,MAR,"DF,MF",Paris S-G,1998,"{'2022-2023': ['Ligue 1', 'Champions League'], '2023-2024': ['Ligue 1', 'Champions League'], '2024-2025': ['Ligue 1', 'Champions League'], 'WC 2022': ['WC 2022']}"
